	Tweets (#)	pos	neg	neu				Tweets (#)	pos	neg	neu
4/2009	1	1	0	0			4/2009	1	1	0	0
5/2009	0	0	0	0			5/2009	0	0	0	0
6/2009	0	0	0	0			6/2009	0	0	0	0
7/2009	2	2	0	0			7/2009	2	2	0	0
8/2009	3	2	0	1			8/2009	3	2	0	1
9/2009	8	6	0	2			9/2009	8	6	0	2
10/2009	2	0	0	2			10/2009	2	0	0	2
11/2009	3	3	0	0			11/2009	3	3	0	0
12/2009	2	2	0	0			12/2009	2	2	0	0
1/2010	0	0	0	0			1/2010	0	0	0	0
2/2010	4	1	1	2			2/2010	4	1	1	2
3/2010	4	2	0	2			3/2010	4	2	0	2
4/2010	3	1	0	2			4/2010	3	1	0	2
5/2010	1	0	0	1			5/2010	1	0	0	1
6/2010	3	2	0	1			6/2010	3	2	0	1
7/2010	3	1	0	2			7/2010	3	1	0	2
8/2010	6	2	1	3			8/2010	6	2	1	3
9/2010	0	0	0	0			9/2010	0	0	0	0
10/2010	4	1	0	3			10/2010	4	1	0	3
11/2010	1	1	0	0			11/2010	1	1	0	0
12/2010	3	2	0	1			12/2010	3	2	0	1
1/2011	13	11	0	2			1/2011	13	11	0	2
2/2011	112	68	7	36			2/2011	112	68	7	36
3/2011	83	52	5	26			3/2011	83	52	5	26
4/2011	5	4	0	1			4/2011	5	4	0	1
5/2011	4	3	0	1			5/2011	4	3	0	1
6/2011	26	17	0	9			6/2011	26	17	0	9
7/2011	27	18	2	7			7/2011	27	18	2	7
8/2011	12	7	0	5			8/2011	12	7	0	5
9/2011	10	7	2	1			9/2011	10	7	2	1
10/2011	15	11	0	4			10/2011	15	11	0	4
11/2011	27	17	0	10			11/2011	27	17	0	10
12/2011	12	10	0	2			12/2011	12	10	0	2
1/2012	67	54	1	12			1/2012	67	54	1	12
2/2012	578	399	32	147			2/2012	578	399	32	147
3/2012	117	71	4	42			3/2012	117	71	4	42
4/2012	92	54	4	34			4/2012	92	54	4	34
5/2012	377	222	15	140			5/2012	377	222	15	140
6/2012	540	360	9	170			6/2012	540	360	9	170
7/2012	656	384	13	258			7/2012	656	384	13	258
8/2012	690	421	13	255			8/2012	690	421	13	255
9/2012	791	489	19	283			9/2012	791	489	19	283
10/2012	774	442	20	312			10/2012	774	442	20	312
11/2012	1132	803	33	296			11/2012	1132	803	33	296
12/2012	73	33	1	39			12/2012	73	33	1	39
	" 6,286 "	" 3,986 "	 182 	" 2,114 "				6286	3986	182	2114
											
				" 6,282 "							6282
